week,week_cutoff,experiment,configuration,model,preprocessing,evaluation_method,seed,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,accuracy_delta,precision_delta,recall_delta,f1_delta,auc_delta
week2,2,feature_drop,baseline (all features),Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6908,0.004,0.6638,0.0055,0.6991,0.0028,0.681,0.0029,0.7608,0.0058,0.0,0.0,0.0,0.0,0.0
week2,2,feature_drop,drop student demographics,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6554,0.0048,0.627,0.0062,0.6666,0.0028,0.6462,0.0033,0.7191,0.0048,-0.0354,-0.0368,-0.0325,-0.0348,-0.0417
week2,2,feature_drop,drop VLE features,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.5675,0.0044,0.5399,0.0045,0.5659,0.0066,0.5526,0.0048,0.5879,0.0032,-0.1233,-0.1239,-0.1332,-0.1284,-0.1729
week2,2,feature_drop,drop activity types — keep total + active_days,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6749,0.0057,0.6496,0.0067,0.676,0.0042,0.6625,0.005,0.7409,0.0055,-0.0159,-0.0142,-0.0231,-0.0185,-0.0199
week2,2,feature_drop,drop total + active_days — keep activity types,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6892,0.0049,0.6611,0.0061,0.7007,0.0063,0.6803,0.0044,0.7575,0.0056,-0.0016,-0.0027,0.0016,-0.0007,-0.0033
week2,2,feature_drop,drop gender,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6875,0.0042,0.6597,0.0053,0.698,0.0032,0.6783,0.0035,0.7575,0.0048,-0.0033,-0.0041,-0.0011,-0.0027,-0.0033
week2,2,feature_drop,drop region,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6902,0.0046,0.6629,0.0049,0.6994,0.0066,0.6806,0.0049,0.7602,0.0056,-0.0006,-0.0009,0.0003,-0.0004,-0.0006
week2,2,feature_drop,drop highest_education,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6816,0.0044,0.6538,0.0061,0.6921,0.0034,0.6724,0.0029,0.75,0.0056,-0.0092,-0.01,-0.007,-0.0086,-0.0108
week2,2,feature_drop,drop imd_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6848,0.0064,0.6574,0.0082,0.6941,0.0032,0.6752,0.0051,0.7552,0.0064,-0.006,-0.0064,-0.005,-0.0058,-0.0056
week2,2,feature_drop,drop age_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6899,0.005,0.6628,0.0059,0.6987,0.0079,0.6802,0.0052,0.7587,0.006,-0.0009,-0.001,-0.0004,-0.0008,-0.0021
week2,2,feature_drop,drop disability,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6872,0.0043,0.6602,0.0053,0.6952,0.005,0.6772,0.004,0.7576,0.0067,-0.0036,-0.0036,-0.0039,-0.0038,-0.0032
week2,2,feature_drop,drop num_of_prev_attempts,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6877,0.0039,0.6598,0.0042,0.6987,0.0061,0.6787,0.0042,0.7573,0.0069,-0.0031,-0.004,-0.0004,-0.0023,-0.0035
week2,2,feature_drop,drop studied_credits,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6828,0.0055,0.6574,0.0067,0.6855,0.0045,0.6711,0.0049,0.7491,0.0052,-0.008,-0.0064,-0.0136,-0.0099,-0.0117
week4,4,feature_drop,baseline (all features),Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.708,0.0051,0.6792,0.0043,0.7228,0.0081,0.7003,0.006,0.7831,0.0065,0.0,0.0,0.0,0.0,0.0
week4,4,feature_drop,drop student demographics,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6755,0.0044,0.647,0.0038,0.688,0.0099,0.6668,0.0059,0.7483,0.0053,-0.0325,-0.0322,-0.0348,-0.0335,-0.0348
week4,4,feature_drop,drop VLE features,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.5675,0.0044,0.5399,0.0045,0.5659,0.0066,0.5526,0.0048,0.5879,0.0032,-0.1405,-0.1393,-0.1569,-0.1477,-0.1952
week4,4,feature_drop,drop activity types — keep total + active_days,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6862,0.0062,0.6579,0.0074,0.6985,0.0074,0.6776,0.0058,0.7583,0.0047,-0.0218,-0.0213,-0.0243,-0.0227,-0.0248
week4,4,feature_drop,drop total + active_days — keep activity types,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7014,0.0027,0.673,0.0031,0.7145,0.006,0.6931,0.0032,0.777,0.0059,-0.0066,-0.0062,-0.0083,-0.0072,-0.0061
week4,4,feature_drop,drop gender,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7066,0.0035,0.6786,0.0034,0.719,0.0054,0.6982,0.004,0.7804,0.0052,-0.0014,-0.0006,-0.0038,-0.0021,-0.0027
week4,4,feature_drop,drop region,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7047,0.0059,0.676,0.0061,0.7189,0.0077,0.6968,0.0062,0.7806,0.0066,-0.0033,-0.0032,-0.0039,-0.0035,-0.0025
week4,4,feature_drop,drop highest_education,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6998,0.0042,0.6698,0.0055,0.7179,0.0066,0.693,0.004,0.774,0.0058,-0.0082,-0.0094,-0.0049,-0.0073,-0.0091
week4,4,feature_drop,drop imd_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7049,0.005,0.6746,0.0049,0.724,0.007,0.6984,0.0054,0.7783,0.007,-0.0031,-0.0046,0.0012,-0.0019,-0.0048
week4,4,feature_drop,drop age_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7053,0.0046,0.6767,0.0047,0.7196,0.0054,0.6975,0.0047,0.781,0.0069,-0.0027,-0.0025,-0.0032,-0.0028,-0.0021
week4,4,feature_drop,drop disability,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7055,0.0071,0.6766,0.0072,0.7206,0.0097,0.6979,0.0077,0.782,0.0068,-0.0025,-0.0026,-0.0022,-0.0024,-0.0011
week4,4,feature_drop,drop num_of_prev_attempts,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7028,0.005,0.673,0.0051,0.7204,0.0049,0.6959,0.0049,0.7815,0.0059,-0.0052,-0.0062,-0.0024,-0.0044,-0.0016
week4,4,feature_drop,drop studied_credits,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6998,0.007,0.6729,0.0064,0.7081,0.0103,0.69,0.008,0.7727,0.0074,-0.0082,-0.0063,-0.0147,-0.0103,-0.0104
week6,6,feature_drop,baseline (all features),Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7231,0.0045,0.6922,0.0039,0.7444,0.007,0.7173,0.0051,0.801,0.0044,0.0,0.0,0.0,0.0,0.0
week6,6,feature_drop,drop student demographics,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.6973,0.004,0.6686,0.0036,0.7115,0.0114,0.6893,0.0059,0.7693,0.0041,-0.0258,-0.0236,-0.0329,-0.028,-0.0317
week6,6,feature_drop,drop VLE features,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.5675,0.0044,0.5399,0.0045,0.5659,0.0066,0.5526,0.0048,0.5879,0.0032,-0.1556,-0.1523,-0.1785,-0.1647,-0.2131
week6,6,feature_drop,drop activity types — keep total + active_days,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7022,0.0042,0.6743,0.0057,0.7143,0.0037,0.6937,0.0034,0.7753,0.0043,-0.0209,-0.0179,-0.0301,-0.0236,-0.0257
week6,6,feature_drop,drop total + active_days — keep activity types,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7159,0.0055,0.6863,0.0056,0.7334,0.0075,0.7091,0.0059,0.7949,0.0055,-0.0072,-0.0059,-0.011,-0.0082,-0.0061
week6,6,feature_drop,drop gender,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7206,0.0026,0.6915,0.004,0.7366,0.0036,0.7134,0.0021,0.7971,0.0039,-0.0025,-0.0007,-0.0078,-0.0039,-0.0039
week6,6,feature_drop,drop region,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7218,0.0052,0.6912,0.0057,0.7423,0.006,0.7158,0.0052,0.7996,0.0044,-0.0013,-0.001,-0.0021,-0.0015,-0.0014
week6,6,feature_drop,drop highest_education,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7141,0.0035,0.6823,0.0045,0.7383,0.0103,0.7091,0.0045,0.793,0.004,-0.009,-0.0099,-0.0061,-0.0082,-0.008
week6,6,feature_drop,drop imd_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7207,0.0039,0.6901,0.0048,0.7412,0.0049,0.7148,0.0036,0.7976,0.0046,-0.0024,-0.0021,-0.0032,-0.0025,-0.0034
week6,6,feature_drop,drop age_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7238,0.0031,0.6931,0.0032,0.7444,0.0069,0.7178,0.0038,0.8007,0.0046,0.0007,0.0009,0.0,0.0005,-0.0003
week6,6,feature_drop,drop disability,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7223,0.0048,0.6926,0.0052,0.7402,0.0074,0.7156,0.005,0.8004,0.0052,-0.0008,0.0004,-0.0042,-0.0017,-0.0006
week6,6,feature_drop,drop num_of_prev_attempts,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7229,0.0052,0.6915,0.0059,0.7458,0.0056,0.7176,0.005,0.7994,0.0046,-0.0002,-0.0007,0.0014,0.0003,-0.0016
week6,6,feature_drop,drop studied_credits,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7166,0.0046,0.6891,0.0046,0.7282,0.0096,0.7081,0.0057,0.7922,0.006,-0.0065,-0.0031,-0.0162,-0.0092,-0.0088
week8,8,feature_drop,baseline (all features),Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7382,0.0054,0.7047,0.0071,0.767,0.009,0.7345,0.0053,0.8214,0.0065,0.0,0.0,0.0,0.0,0.0
week8,8,feature_drop,drop student demographics,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7157,0.0036,0.6851,0.0043,0.7362,0.008,0.7097,0.0041,0.7937,0.0059,-0.0225,-0.0196,-0.0308,-0.0248,-0.0277
week8,8,feature_drop,drop VLE features,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.5675,0.0044,0.5399,0.0045,0.5659,0.0066,0.5526,0.0048,0.5879,0.0032,-0.1707,-0.1648,-0.2011,-0.1819,-0.2335
week8,8,feature_drop,drop activity types — keep total + active_days,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7134,0.0045,0.6839,0.0072,0.7308,0.0084,0.7065,0.0037,0.7912,0.0055,-0.0248,-0.0208,-0.0362,-0.028,-0.0302
week8,8,feature_drop,drop total + active_days — keep activity types,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7317,0.0046,0.6974,0.0067,0.7624,0.0073,0.7284,0.0038,0.8144,0.0069,-0.0065,-0.0073,-0.0046,-0.0061,-0.007
week8,8,feature_drop,drop gender,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7375,0.0055,0.7048,0.0075,0.764,0.008,0.7331,0.005,0.819,0.0058,-0.0007,0.0001,-0.003,-0.0014,-0.0024
week8,8,feature_drop,drop region,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7383,0.0068,0.7041,0.0082,0.7686,0.0088,0.7349,0.0064,0.8208,0.0059,0.0001,-0.0006,0.0016,0.0004,-0.0006
week8,8,feature_drop,drop highest_education,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7312,0.0046,0.6959,0.007,0.7652,0.006,0.7289,0.0034,0.8145,0.0063,-0.007,-0.0088,-0.0018,-0.0056,-0.0069
week8,8,feature_drop,drop imd_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7381,0.0059,0.704,0.0078,0.7683,0.0084,0.7347,0.0055,0.819,0.0061,-0.0001,-0.0007,0.0013,0.0002,-0.0024
week8,8,feature_drop,drop age_band,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7379,0.0047,0.7044,0.0057,0.7666,0.0107,0.7341,0.0054,0.8209,0.0061,-0.0003,-0.0003,-0.0004,-0.0004,-0.0005
week8,8,feature_drop,drop disability,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7391,0.0052,0.7054,0.0063,0.7681,0.0105,0.7353,0.0057,0.8205,0.0062,0.0009,0.0007,0.0011,0.0008,-0.0009
week8,8,feature_drop,drop num_of_prev_attempts,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7386,0.0062,0.705,0.0079,0.7677,0.0086,0.735,0.0058,0.8203,0.0064,0.0004,0.0003,0.0007,0.0005,-0.0011
week8,8,feature_drop,drop studied_credits,Random Forest,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,42,0.7311,0.0063,0.7013,0.0071,0.7498,0.011,0.7247,0.0069,0.8126,0.0063,-0.0071,-0.0034,-0.0172,-0.0098,-0.0088
